doc_key;from_id;to_id;text;from_placename;to_placename;error
0250_0001-0000-0000-0016-0002;Q392483;Q182445;od Dunajských břehů ku Strbskému plesu , od Moravy družné k Prutu;Štrbské Pleso;Prut;repeated
0250_0001-0000-0000-0016-0002;Q43266;Q182445;od Moravy družné k Prutu;Moravia;Prut;
0257_0001-0000-0000-0001-0010;Q11863119;Q2698393;z luhu , K Děvínu se béře vyslankyně , K Branovu;Děvín;Branov;wrong direction
0282_0001-0000-0000-0026-0000;Q157290;Q194263;od Šumavy neproniklých borů až po háje Tater zelené;Bohemian Forest;Tatra Mountains;
0291_0001-0000-0000-0001-0009;Q157290;Q194263;Od Šumavy až po výšiny Tater;Bohemian Forest;Tatra Mountains;
0291_0001-0000-0000-0001-0009;Q12130;Q101081;od Bretagně slunné do Provence;Brittany;Provence;
0292_0001-0000-0000-0001-0000;Q10817265;Q10817986;od Plešivce , Toku ke Třemšínu;Plešivec;Třemšín;
0292_0001-0000-0000-0001-0000;Q10817953;Q10817986;od Plešivce , Toku ke Třemšínu;Tok;Třemšín;
0306_0001-0000-0000-0001-0001;Q223353;Q3148382;z Opatije šel jsem do Iky;Opatija;Ika;
0317_0001-0000-0000-0004-0000;Q215573;Q131574;od Beskyd k stříbrné Vltavě;Beskids;Vltava;
0329_0001-0001-0000-0010-0000;Q131574;Q157728;od Vltavy Dále do Smrčin;Vltava;Fichtelgebirge;
0329_0001-0001-0000-0010-0000;Q131574;Q157290;od Vltavy Dále do Smrčin a do Šumavy;Vltava;Bohemian Forest;
0329_0001-0001-0000-0010-0000;Q157728;Q157290;od Vltavy Dále do Smrčin a do Šumavy;Fichtelgebirge;Bohemian Forest;
0329_0001-0001-0000-0054-0000;Q616334;Q7596262;Z Libušina sídla , Vyšehradu , Do Stadice;Vyšehrad;Stadice;
0329_0001-0002-0000-0046-0000;Q220;Q213;Z Říma již se nazpět do Čech;Rome;Czech Republic;
0331_0001-0000-0000-0007-0000;Q617511;Q102047454;od Sněžky ke Troskám;Sněžka;Trosky;
0335_0001-0000-0000-0001-0008;Q1894568;Q41190;ze Sychrova a dále k Jivině;Sychrov;Jivina;
0349_0001-0001-0000-0036-0000;Q157290;Q194263;od Šumavy až k Tatrám;Bohemian Forest;Tatra Mountains;
