"lang","doc_key","from_id","to_id","text","author_name","year_birth","year_death","from_placename","from_latitude","from_longitude","from_type","from_type_detail","to_placename","to_latitude","to_longitude","to_type","to_type_detail"
"cs","0192_0001-0002-0000-0007-0000","Q549849","Q12770704","z Bánovců k Machnáči","Heyduk, Adolf",1835,1923,"Bánovce nad Bebravou",48.718611111111,18.258055555556,"city","city","Machnáč",48.744311,18.2337,"river","river"
"cs","0192_0001-0004-0000-0010-0000","Q213230","Q1653","z Hronce až k Dunaji","Heyduk, Adolf",1835,1923,"Hron",47.8179,18.7417,"river","river","Danube",48.0951111111111,8.15488888888889,"river","river"
"cs","0192_0001-0005-0000-0010-0000","Q1780","Q1781","z Prešpurka k Budapešti","Heyduk, Adolf",1835,1923,"Bratislava",48.144722222222,17.112777777778,"city","city","Budapest",47.498333333333,19.040833333333,"city","city"
"cs","0208_0001-0001-0000-0031-0000","Q194263","Q1653","od Tater až po Dunaj krasší","Heyduk, Adolf",1835,1923,"Tatra Mountains",49.177777777778,19.908333333333,"mountain","mountain","Danube",48.0951111111111,8.15488888888889,"river","river"
"cs","0216_0001-0000-0000-0001-0004","Q26119","Q25409","od Prešova dolů ke Košici","Heyduk, Adolf",1835,1923,"Prešov",49,21.233333333333,"city","city","Košice",48.716666666667,21.25,"city","city"
"cs","0216_0001-0000-0000-0001-0012","Q1653","Q2978","od Dunaje k Řeznu","Heyduk, Adolf",1835,1923,"Danube",48.0951111111111,8.15488888888889,"river","river","Regensburg",49.0166666666667,12.0833333333333,"city","city"
"cs","0229_0001-0000-0000-0013-0000","Q1085","Q171150","z Prahy do Uher","Heyduk, Adolf",1835,1923,"Prague",50.0875,14.4213888888889,"city","city","Kingdom of Hungary",47,19,"country","country"
"cs","0230_0001-0000-0000-0015-0000","Q373804","Q214956","Od Telče k Znojmu","Heyduk, Adolf",1835,1923,"Telč",49.184229941699,15.452771068011,"city","city","Znojmo",48.855540667876,16.048796054219,"city","city"
"cs","0236_0001-0000-0000-0003-0002","Q1015282","Q213","z Falkenštýna ; na rychlo do Čech","Heyduk, Adolf",1835,1923,"Burg Falkenstein an der Ranna",48.4939,13.7825,"castle/fort","castle ruin","Czech Republic",50,15,"country","country"
"cs","0236_0001-0000-0000-0022-0000","Q616317","Q518360","z Bedružic , vzhůru již k Bílinské tvrzi","Heyduk, Adolf",1835,1923,"Bezdružice",49.907353061714,12.97116813512,"city","city","Bílina",50.548631074934,13.775445246997,"city","city"
"cs","0237_0001-0001-0000-0004-0000","Q191687","Q85","z Heljopole kráčí do Kahiry","Heyduk, Adolf",1835,1923,"Heliopolis",30.129527777778,31.288888888889,"ancient city","ancient city","Cairo",30.0444444444444,31.2358333333333,"city","city"
"cs","0237_0001-0002-0000-0006-0000","Q1741","Q1085","z Vídně k Praze","Heyduk, Adolf",1835,1923,"Vienna",48.2083333333333,16.3725,"city","city","Prague",50.0875,14.4213888888889,"city","city"
"cs","0237_0001-0002-0000-0007-0000","Q1008750","Q193719","Ze Stříbra juž tajnými jsem slovy do Chebu","Heyduk, Adolf",1835,1923,"Stříbro",49.753048391098,13.004146255782,"city","city","Cheb",50.079759165169,12.373995588434,"city","city"
"cs","0242_0001-0000-0000-0001-0006","Q934703","Q1113619","Od Kouřimi k Lipanům","Heyduk, Adolf",1835,1923,"Kouřim",50.003119975612,14.977096015946,"city","city","Lipany",50.03472222,14.93916667,"village","village"
