"","id","lat","lon","placename","type"
"107","Q12029066",49.9744,15.2708,"Kaňk","default"
"108","Q35600",60,59,"Ural Mountains","mountain"
"109","Q38",42.5,12.5,"Italy","country"
"110","Q626",45.695,47.8975,"Volga","river"
"111","Q845990",49.1628335,20.000047,"Kriváň","mountain"
"112","Q213",50,15,"Czech Republic","country"
"113","Q5836",39.866666666667,-4.0333333333333,"Toledo","default"
"114","Q22647",39.9575,26.238888888889,"Troy","default"
"115","Q142",47,2,"France","country"
"116","Q163329",32.766667,35.333333,"Canaan","default"
"117","Q43453",49.741388888889,13.3825,"Plzeň","default"
"118","Q168234",49.860330117712,13.772679609569,"Zbiroh","default"
"119","Q674016",50.0831944444444,17.2308611111111,"Praděd","mountain"
"120","Q1008595",50.627013945049,15.609473689336,"Vrchlabí","default"
"121","Q83241",32.76,35.527,"Galilee","default"
"122","Q5776",31.704444444444,35.206111111111,"Bethlehem","default"
"123","Q37985",46.7525,13.8617,"Carinthia","default"
"124","Q60956",31.665833333333,34.566388888889,"Ashkelon","default"
"125","Q15",21.09375,7.1881,"Africa","continent"
"126","Q41",38.5,23,"Greece","country"
"127","Q4040",41,-1,"Aragon","default"
"128","Q427604",50.083611111111,14.395277777778,"Petřín","mountain"
"129","Q202422",37.9380555555556,23.4852777777778,"Salamis Island","default"
"130","Q40059",31.761388888889,35.558333333333,"Jordan River","river"
"131","Q812",28.133333333333,-81.631666666667,"Florida","default"
"132","Q40855",46.4964,32.2872,"Dnieper","river"
"133","Q3255",53.933333333333,14.083333333333,"Usedom","default"
"134","Q128087",39.21,26.28,"Lesbos","default"
"135","Q1587293",49.625260549903,16.372967344933,"Hartmanice","default"
"136","Q19686",51.6944444444444,-2.02972222222222,"River Thames","river"
"137","Q602",43.3342,4.8442,"Rhône","default"
"138","Q1641699",50.168272849798,14.054657380156,"Libušín","default"
"139","Q279943",49.188915,14.701045,"Lužnice","river"
"140","Q10856807",49.5603,17.9506,"Janovice","default"
"141","Q2486621",54.484,-3.5306,"Egremont","default"
"142","Q16869",41.0125,28.98,"Constantinople","default"
"143","Q8826",39.566666666667,2.6497222222222,"Palma de Mallorca","default"
"144","Q171150",47,19,"Kingdom of Hungary","default"
"145","Q487372",40.166666666667,63.666666666667,"Bukhara Region","default"
"146","Q2337",54.782777777778,32.045277777778,"Smolensk","default"
"147","Q980",49.0786111111111,11.3855555555556,"Bavaria","default"
"148","Q1288",47,25.5,"Carpathian Mountains","mountain"
"149","Q370445",48.6805555555556,19.9455555555556,"Tisovec","default"
"150","Q1218",31.7788888888889,35.2255555555556,"Jerusalem","default"
"151","Q740863",50.68558429129,14.53774710235,"Česká Lípa","default"
"152","Q1823216",50.407910682451,14.446835371569,"Liběchov","default"
"153","Q470445",49.472222222222,17.110555555556,"Prostějov","default"
"154","Q194242",50.7167,15.0667,"Sudetenland","default"
"155","Q594147",48.991111111111,13.818333333333,"Boubín","mountain"
"156","Q1278569",45.81611111,15.97388889,"Gradec","default"
"157","Q405383",44.151284,22.639277,"Bregovo","default"
"158","Q753919",44.213611111111,22.670277777778,"Timok","river"
"159","Q157246",41.031944444444,21.334722222222,"Bitola","default"
"160","Q149214",41.4451,23.2775,"Strumica","river"
"161","Q10555398",45.3333333333333,39,"Kuban","default"
"162","Q5089",30.1451,78.5974,"Ganges","river"
"163","Q546",45.6502777777778,13.7702777777778,"Trieste","default"
"164","Q1000046",49.298546446655,16.53146211908,"Kuřim","default"
"165","Q812761",49.645829055721,18.372367848188,"Baška","default"
"166","Q8385",49.835555555556,18.2925,"Ostrava","default"
"167","Q210205",47.5,19.1,"Pest","default"
"168","Q166",43.41,34.26,"Black Sea","default"
"169","Q1524",37.9841666666667,23.7280555555556,"Athens","default"
"170","Q164486",49.530886486589,15.457117105231,"Herálec","default"
"171","Q21",53,-1,"England","country"
"172","Q2807",40.4169444444444,-3.70333333333333,"Madrid","default"
"173","Q583910",50.223996008844,12.195074300926,"Aš","default"
"174","Q1093421",48.272777777778,24.374722222222,"Yasinya","default"
"175","Q9264038",49.6856,18.3506,"Frýdek","default"
"176","Q90",48.8566666666667,2.35222222222222,"Paris","default"
"177","Q536924",36.74416667,36.95916667,"Cyrrhus","default"
"178","Q1792",54.35,18.6666666666667,"Gdańsk","default"
"179","Q36755",29.5,33.8333333333333,"Sinai Peninsula","default"
"180","Q597",38.708042,-9.139016,"Lisbon","default"
"181","Q383386",51.013322222222,13.661747222222,"Potschappel","default"
"182","Q18869",42.261111111111,44.121111111111,"Caucasus","default"
"183","Q5622",55.3369,21.2492,"Neman","river"
"184","Q22",57,-5,"Scotland","country"
"185","Q12439",42.331666666667,-83.0475,"Detroit","default"
"186","Q64",52.516666666667,13.383333333333,"Berlin","default"
"187","Q1693",56,3,"North Sea","default"
"188","Q776965",55.7125,21.135,"Klaipėda","default"
"189","Q393426",50.327264913574,13.545859487384,"Žatec","default"
"190","Q505288",49.516666666667,10.466666666667,"Ipsheim","default"
"191","Q22756",49.191666666667,6.9683333333333,"Spicheren","default"
"192","Q491239",40.8,-81.375,"Canton","default"
"193","Q6986",50.948888888889,10.718333333333,"Gotha","default"
"194","Q152854",36,-5.35,"Pillars of Hercules","default"
"195","Q130135",31.0619444444444,-7.91611111111111,"Atlas Mountains","mountain"
"196","Q155721",51.800555555556,10.617222222222,"Brocken","mountain"
"197","Q34589",31.0043,47.442,"Euphrates","river"
"198","Q12724",46.316666666667,8.8166666666667,"Ticino","default"
"199","Q261399",50.636666666667,2.2588888888889,"Thérouanne","default"
"200","Q727",52.3727777777778,4.89361111111111,"Amsterdam","default"
"201","Q201385",40.735277777778,14.275277777778,"Gulf of Naples","default"
"202","Q1055",53.55,10,"Hamburg","default"
"203","Q491788",48.983611111111,12.058888888889,"Pentling","default"
"204","Q991372",33.240277777778,35.653055555556,"Dan","default"
"205","Q25286",59.849760548324,17.638946597524,"Uppsala","default"
"206","Q131716",56.928333333333,11.428055555556,"Kattegat","default"
"207","Q406",41.01,28.960277777778,"Istanbul","default"
"208","Q552",53.6017,14.5897,"Oder","river"
"209","Q1711",52.4,13.066666666667,"Potsdam","default"
"210","Q13696",45.1596,12.3311,"Adige","river"
"211","Q1017",50.776207,6.083788,"Aachen","default"
"212","Q2044",43.771388888889,11.254166666667,"Florence","default"
"213","Q45",38.7,-9.18333333333333,"Portugal","country"
"214","Q12444",50.683333333333,7.1833333333333,"Königswinter","default"
"215","Q1726",48.1375,11.575,"Munich","default"
"216","Q84",51.507222222222,-0.1275,"London","default"
"217","Q1851740",34.996388888889,-85.350833333333,"Lookout Mountain","default"
"218","Q12792",44,5.1666666666667,"Vaucluse","default"
"219","Q1120038",54.638055555556,-8.6813888888889,"Slieve League","mountain"
"220","Q5451",29,84,"Himalayas","mountain"
"221","Q22890",53.351,-7.921,"Ireland","default"
"222","Q23148",50.3,-4.9,"Cornwall","default"
"223","Q40430",-12.52,-41.69,"Bahia","default"
"224","Q493261",37.9063131,-122.064963,"Walnut Creek","default"
"225","Q476913",41.94,-123.48,"Siskiyou Mountains","mountain"
"226","Q188155",36.8466666666667,54.43,"Gorgan","default"
"227","Q668",22.8,83,"India","country"
"228","Q3392",31.4653,30.3667,"Nile","river"
"229","Q11767",33.7,43.5,"Mesopotamia","default"
"230","Q2868",-12.06,-77.0375,"Lima","default"
"231","Q192896",54.8947222222222,-2.93638888888889,"Carlisle","default"
"232","Q209176",52.398055555556,0.26222222222222,"Ely","default"
"233","Q2041191",52.15,0.0533,"Haslingfield","default"
"234","Q739037",40.429,29.7195,"Nicaea","default"
"235","Q1471",49.434722222222,0.1175,"Seine","default"
"236","Q163108",48.647222222222,-2.0088888888889,"Saint-Malo","default"
"237","Q46",48.690959,9.14062,"Europe","continent"
"238","Q189",65,-19,"Iceland","country"
"239","Q434165",53.3851,-6.0591,"Howth","default"
"240","Q4856854",52.3582,-9.8368,"Banna Strand","default"
"241","Q6869752",45.7746,-64.3615,"Minudie","default"
"242","Q5684",32.5425,44.4211111111111,"Babylon","default"
"243","Q1509",36,-86,"Tennessee","default"
"244","Q207639",50.8365,-0.7792,"Chichester","default"
"245","Q229",35,33,"Cyprus","country"
"246","Q31945",23,46,"Arabian Peninsula","default"
"247","Q170263",53.2,-2.8833333333333,"Chester","default"
"248","Q953957",51.589,-1.427,"Wantage","default"
"249","Q1308",45.81025,9.0861388888889,"Como","default"
"250","Q490",45.466944444444,9.19,"Milan","default"
"251","Q23220",51.42,-1,"Berkshire","default"
"252","Q2405266",51.677,-1.667,"Buscot","default"
"253","Q29520",35,105,"China","default"
"254","Q794",32,53,"Iran","country"
"255","Q936301",52.242138888889,-6.9688611111111,"Barrow","river"
"256","Q45797",51.037777777778,2.3763888888889,"Dunkirk","default"
"257","Q1020354",54.7136111111111,-5.8075,"Carrickfergus","default"
"258","Q192820",52.6767,-8.7545,"River Shannon","river"
"259","Q1520625",52.43,-7.563,"Slievenamon","mountain"
"260","Q1016302",51.85,-9.2333333333333,"Ballingeary","default"
"261","Q550995",53.5425,0.0925,"Humber","river"
"262","Q535233",50.804,-1.978,"Wimborne Minster","default"
"263","Q216185",51.5073,-0.12755,"Charing Cross","default"
"264","Q41843",31.258888888889,34.797777777778,"Beersheba","default"
"265","Q1761",53.3497222222222,-6.26027777777778,"Dublin","default"
"266","Q735865",50.9133,2.9181,"Langemark-Poelkapelle","default"
"267","Q1860807",50.697980555556,-1.1123694444444,"St Helens","default"
"268","Q854791",24.25256,97.23357,"Bhamo","default"
"269","Q217142",53.068863888889,-4.0755888888889,"Snowdon","mountain"
"270","Q170497",51.864444444444,-2.2444444444444,"Gloucester","default"
"271","Q7356450",51.739,-2.228,"Rodborough","default"
"272","Q2255910",53.3269,-0.6748,"Stow","default"
"273","Q2620177",42.239167,-71.808333,"College of the Holy Cross","default"
"274","Q824",43.9358333333333,-120.575,"Oregon","default"
"275","Q724",45.5,-69,"Maine","default"
"276","Q1715",52.374444444444,9.7386111111111,"Hanover","default"
"277","Q168225",31.535,35.098611111111,"Hebron","default"
"278","Q7348",31.2421,81.7684,"Indus River","river"
"279","Q1433715",54.916111111111,-1.3577777777778,"River Wear","river"
"280","Q200942",51.558333333333,-1.7811111111111,"Swindon","default"
"281","Q16",56,-109,"Canada","country"
"282","Q298",-33,-71,"Chile","country"
"283","Q81178",69,-72,"Baffin Island","default"
"284","Q82601",-54,-70,"Tierra del Fuego","default"
"285","Q99",37,-120,"California","default"
"286","Q96",23,-102,"Mexico","country"
"287","Q1034291",46.15,-60.1667,"Cape Breton","default"
"288","Q13712",41.740555555556,12.233333333333,"Tiber","river"
"289","Q1952",45,-63,"Nova Scotia","default"
"290","Q1383",44.592584,-82.756293,"Lake Huron","default"
"291","Q59457",48.864722222222,5.7436111111111,"Xivray-et-Marvoisin","default"
"292","Q1089844",49.663333333333,2.4922222222222,"Cantigny","default"
"293","Q167152",49.381111111111,3.3225,"Soissons","default"
"294","Q1011096",51.2226,1.4006,"Deal","default"
"295","Q212150",38.155,23.963611111111,"Marathon","default"
"296","Q7140795",53.194,0.109657,"Partney","default"
"297","Q9427",16.773333055556,-2.9994438888889,"Timbuktu","default"
"298","Q25610",51.5541,-0.1744,"Hampstead","default"
"299","Q40747",44.3683611111111,-100.351138888889,"Pierre","default"
"300","Q195413",54.75,-3.6666666666667,"Solway Firth","default"
"301","Q746518",50.815,-2.2766666666667,"Milton Abbas","default"
"302","Q1003997",32.5,34.9,"Judaea","default"
"303","Q686818",49.3066666666667,6.82305555555556,"Schwalbach","default"
"304","Q285879",49.966944444444,7.895,"Bingen am Rhein","default"
"305","Q3476563",37.255,-122.38138888889,"Pescadero","default"
"306","Q16990",37.7508345148182,14.9932202888121,"Mount Etna","default"
"307","Q535902",54.0084,-1.467,"Knaresborough","default"
"308","Q959127",42.375,-70.749444444444,"Massachusetts Bay","default"
"309","Q662059",36.494166666667,-6.2169444444444,"Bay of Cádiz","default"
"310","Q216868",37.2480611111111,-76.1194388888889,"Chesapeake Bay","default"
"311","Q43196",39.1,-84.5125,"Cincinnati","default"
"312","Q2028",45.4386111111111,10.9927777777778,"Verona","default"
"313","Q2634",40.833333333333,14.25,"Naples","default"
"314","Q3071035",51.953,-1.123,"Fringford","default"
"315","Q5753",39.6547222222222,66.9758333333333,"Samarkand","default"
"316","Q865849",53.0914,-7.9133,"Birr","default"
"317","Q83407",50.4549568,3.951958,"Mons","default"
"318","Q3138",49.75565,6.63935,"Trier","default"
"319","Q37995",16.795,96.16,"Yangon","default"
"320","Q185518",21.9830555555556,96.0844444444444,"Mandalay","default"
"321","Q456624",30.378611111111,76.7725,"Ambala","default"
"322","Q213026",28.364,79.415,"Bareilly","default"
"323","Q39121",53.7975,-1.54361111111111,"Leeds","default"
"324","Q1006232",51.4916666666667,0.0666666666666667,"Woolwich","default"
"325","Q1195983",33.586944444444,71.441388888889,"Kohat","default"
"326","Q83786",31.103333333333,77.172222222222,"Shimla","default"
"327","Q1113311",34.0144444444444,71.5675,"Peshawar","default"
"328","Q289273",24.648265,71.267767,"Luni River","river"
"329","Q380307",54,-62,"Labrador","default"
"330","Q3846",52.2883333333333,8.91666666666667,"Minden","default"
"331","Q121104",36.7,67.116666666667,"Balkh","default"
"332","Q139706",29.3875,76.97,"Panipat","default"
"333","Q123741",51.5158,-0.0318,"Limehouse","default"
"334","Q173148",37.393333333333,25.271111111111,"Delos","default"
"335","Q191333",34.11,71.111666666667,"Khyber Pass","default"
"336","Q733093",51.851,-8.2967,"Cobh","default"
"337","Q1117354",50.055555555556,3.1241666666667,"Gouzeaucourt","default"
"338","Q896037",53.722083333333,-6.2435277777778,"River Boyne","river"
"339","Q80338",23.9888,88.7311,"Bengal","default"
"340","Q132724",55.9,94.9,"Borodino","default"
"341","Q132564",37.730833333333,22.756111111111,"Mycenae","default"
"342","Q68815586",56.59544261,-3.003357172,"Glamis","default"
"343","Q100",42.3602777777778,-71.0577777777778,"Boston","default"
"344","Q2918297",-33.8855555555556,151.2413889,"Woollahra","default"
"345","Q43",39,36,"Turkey","country"
"346","Q176",52,-72,"Quebec","default"
"347","Q385060",51.4736,-0.0912,"Camberwell","default"
"348","Q1346856",33.249,35.652,"Dan","default"
"349","Q2302305",41.343055555556,-70.745277777778,"Chilmark","default"
