id,placename,type,latitude,longitude,source_lat,source_lon,mouth_lat,mouth_lon,mid_lat,mid_lon
Q3783,Amazon,river,0.707777777777778,-50.0894444444444,-4.452777777,-73.448611111,0.0,-30.0,-3.167606,-59.992213
Q16512,Manzanares,river,40.30406,-3.539275,40.785079,-3.975991,40.03128,-3.65009,40.517270,-3.777862
Q643,Po,river,44.97,12.546944444444,44.7013,7.09375,42.775833,15.426111,45.059916,9.705153
Q4498825,Khodynka,river,55.7969444444444,37.5113888888889,55.806944,37.556111,55.766409,37.498252,55.777330,37.509074
Q6862,Amur River,river,53.3333,121.4814,51.7044,115.8421,55.0,150.0,47.737264,131.519857
Q4528198,Shuya,river,59.48678,39.63471,59.415555555,39.483055555,59.640277777,39.446944444,59.437957,39.553059
Q590269,Moyka River,river,59.92625,30.273527777778,59.947916666,30.336361111,59.918666666,30.239861111,59.932215,30.311447
Q172089,Oka,river,56.3328,43.9844,52.3624,36.2223,57.251331194,32.467965694,54.653668,39.781019
Q78707,Yenisey,river,51.7279,94.4518,49.2619,100.6797,77.0,77.0,63.356235,87.331107
Q8542,Panj River,river,37.1109,68.3147,37.0176,72.6615,37.106,68.3063,38.468990,70.883959
Q790987,Avijõgi,river,58.94091,27.05566,59.110277777,26.628611111,58.637791666,27.503427777,59.009750,26.736173
Q85416,Kubra,river,53.1224,48.4551,53.0218,48.0685,57.251331194,32.467965694,53.088612,48.363513
Q7355,Yellow River,river,36.1241944444444,116.097666666667,34.491944,96.340278,38.7,119.9,40.512694,109.831447
Q179751,Aras River,river,40.0184,48.4535,39.333,41.333,40.833554,42.820133,39.990552,44.453129
Q156557,Kura River,river,39.2864,49.4278,39.7,44.3,42.0,50.5,41.065413,45.795647
Q182445,Prut,river,45.4688,28.2072,47.0,25.5,48.095111111,8.154888888,47.327505,27.609748
Q202760,Soča,river,45.724722222222,13.556111111111,46.36666667,13.81666667,42.775833,15.426111,46.096220,13.639771
Q12770704,Machnáč,river,48.744311,18.2337,48.933333,18.316667,48.5712,18.2085,48.772151,18.199423
Q157736,Morača,river,42.257222222222,19.146111111111,42.851666666,19.235277777,42.1814,19.309,42.583355,19.355896
Q730378,Tara,river,43.348333333333,18.839444444444,42.594444444,19.575,43.348611111,18.839444444,43.115873,19.355122
Q1066857,Sitnica (Ibar),river,42.4068055555556,21.1911944444444,42.406805555,21.191194444,42.7956,20.0856,42.759748,21.015014
Q372490,Bojana,river,41.875,19.375,42.1814,19.309,42.775833,15.426111,41.979191,19.376849
Q204347,Maritsa,river,40.738055555556,26.030555555556,42.161388888,23.596111111,40.36666667,25.16666667,2.059216,25.609996
Q973,Ob,river,66.3802,71.7787,52.430555555,84.983333333,77.0,77.0,61.229571,73.507263
Q1650,Weser,river,51.42139,9.64806,50.4919,9.9536,56.459,3.6825,52.674578,9.192406
Q115457,Arno,river,43.7255555555556,11.6716666666667,43.866666666,11.7,43.498333333,9.041666666,43.773817,11.091130
Q216373,River Tyne,river,55.0119,-1.4158,54.988941,-2.130589,56.459,3.6825,54.966918,-1.712894
Q19714,River Trent,river,53.7,-0.7,53.12,-2.14139,53.700555555,-0.690277777,53.008589,-0.954156
Q1540243,River Stour,river,51.313217,1.364409,51.1465,0.8676,51.3,1.38333,51.283992,1.082363
Q19682,River Severn,river,52.494444444444,-3.7375,52.494444444,-3.7375,51.35,-3.7,52.378100,-2.316334
Q422487,James River,river,36.9416666666667,-76.4436111111111,37.784444444,-79.775833333,37.248061111,-76.119438888,37.691287,-77.925136
Q41986,Meuse,river,51.715,4.6677777777778,47.982777777,5.6275,56.459,3.6825,50.374707,4.878014
Q370750,Savannah River,river,34.4437149,-82.855974,34.4436,-82.8561,0.0,-30.0,33.522096,-82.007721
Q41983,Marne,river,48.816388888889,2.4108333333333,47.8184,5.3501,49.434722222,0.1175,48.991770,4.255942
Q19721,River Clyde,river,55.937857,-4.672852,55.406388888,-3.652222222,55.666666666,-5.0,55.684461,-3.851721
Q291233,Churchill River,river,53.349444444444,-60.1775,54.096388888,-64.011111111,53.3925,-60.162777777,53.103059,-61.082876
Q5077,Garonne,river,45.0386,-0.6111,42.636475703,1.046168846,45.58972222,-1.04916667,44.200371,0.608996
Q19720,River Spey,river,57.674187,-3.098504,57.007655,-4.601948,57.75,-3.5,57.321526,-3.605089
Q60067,Kuskokwim River,river,60.083055555556,-162.33388888889,64.3158,-151.516,58.0,-178.0,61.417007,-160.594235
