;id;lat;lon;placename;type;type_detail
113;Q5836;39.866666666667;-4.0333333333333;Toledo;default;city
114;Q22647;39.9575;26.238888888889;Troy;default;ancient city
115;Q142;47;2;France;country;
116;Q163329;32.766667;35.333333;Canaan;default;ancient region
117;Q43453;49.741388888889;13.3825;Plzeň;default;city
118;Q168234;49.860330117712;13.772679609569;Zbiroh;default;city
119;Q674016;50.0831944444444;17.2308611111111;Praděd;mountain;
120;Q1008595;50.627013945049;15.609473689336;Vrchlabí;default;city
121;Q83241;32.76;35.527;Galilee;default;region
122;Q5776;31.704444444444;35.206111111111;Bethlehem;default;city
123;Q37985;46.7525;13.8617;Carinthia;default;region
124;Q60956;31.665833333333;34.566388888889;Ashkelon;default;city
125;Q15;21.09375;7.1881;Africa;continent;
126;Q41;38.5;23;Greece;country;
127;Q4040;41;-1;Aragon;default;region
128;Q427604;50.083611111111;14.395277777778;Petřín;mountain;
129;Q202422;37.9380555555556;23.4852777777778;Salamis Island;default;island
130;Q40059;31.761388888889;35.558333333333;Jordan River;river;
131;Q812;28.133333333333;-81.631666666667;Florida;default;region
132;Q40855;46.4964;32.2872;Dnieper;river;
133;Q3255;53.933333333333;14.083333333333;Usedom;default;island
134;Q128087;39.21;26.28;Lesbos;default;island
135;Q1587293;49.625260549903;16.372967344933;Hartmanice;default;village
136;Q19686;51.6944444444444;-2.02972222222222;River Thames;river;
137;Q602;43.3342;4.8442;Rhône;default;river
138;Q1641699;50.168272849798;14.054657380156;Libušín;default;city
139;Q279943;49.188915;14.701045;Lužnice;river;
140;Q10856807;49.5603;17.9506;Janovice;default;village
141;Q2486621;54.484;-3.5306;Egremont;default;city
142;Q16869;41.0125;28.98;Constantinople;default;city
143;Q8826;39.566666666667;2.6497222222222;Palma de Mallorca;default;city
144;Q171150;47;19;Kingdom of Hungary;default;country
145;Q487372;40.166666666667;63.666666666667;Bukhara Region;default;region
146;Q2337;54.782777777778;32.045277777778;Smolensk;default;city
147;Q980;49.0786111111111;11.3855555555556;Bavaria;default;region
148;Q1288;47;25.5;Carpathian Mountains;mountain;
149;Q370445;48.6805555555556;19.9455555555556;Tisovec;default;city
150;Q1218;31.7788888888889;35.2255555555556;Jerusalem;default;city
151;Q740863;50.68558429129;14.53774710235;Česká Lípa;default;city
152;Q1823216;50.407910682451;14.446835371569;Liběchov;default;city
153;Q470445;49.472222222222;17.110555555556;Prostějov;default;city
154;Q194242;50.7167;15.0667;Sudetenland;default;land
155;Q594147;48.991111111111;13.818333333333;Boubín;mountain;
156;Q1278569;45.81611111;15.97388889;Gradec;default;city part
157;Q405383;44.151284;22.639277;Bregovo;default;city
158;Q753919;44.213611111111;22.670277777778;Timok;river;
159;Q157246;41.031944444444;21.334722222222;Bitola;default;city
160;Q149214;41.4451;23.2775;Strumica;river;
161;Q10555398;45.3333333333333;39;Kuban;default;region
162;Q5089;30.1451;78.5974;Ganges;river;
163;Q546;45.6502777777778;13.7702777777778;Trieste;default;city
164;Q1000046;49.298546446655;16.53146211908;Kuřim;default;city
165;Q812761;49.645829055721;18.372367848188;Baška;default;village
166;Q8385;49.835555555556;18.2925;Ostrava;default;city
167;Q210205;47.5;19.1;Pest;default;city
168;Q166;43.41;34.26;Black Sea;default;sea
169;Q1524;37.9841666666667;23.7280555555556;Athens;default;ancient city
170;Q164486;49.530886486589;15.457117105231;Herálec;default;village
171;Q21;53;-1;England;country;
172;Q2807;40.4169444444444;-3.70333333333333;Madrid;default;city
173;Q583910;50.223996008844;12.195074300926;Aš;default;city
174;Q1093421;48.272777777778;24.374722222222;Yasinya;default;city
175;Q9264038;49.6856;18.3506;Frýdek;default;city part
176;Q90;48.8566666666667;2.35222222222222;Paris;default;city
177;Q536924;36.74416667;36.95916667;Cyrrhus;default;ancient city
178;Q1792;54.35;18.6666666666667;Gdańsk;default;city
179;Q36755;29.5;33.8333333333333;Sinai Peninsula;default;land
180;Q597;38.708042;-9.139016;Lisbon;default;city
181;Q383386;51.013322222222;13.661747222222;Potschappel;default;village
182;Q18869;42.261111111111;44.121111111111;Caucasus;default;land
183;Q5622;55.3369;21.2492;Neman;river;
184;Q22;57;-5;Scotland;country;
185;Q12439;42.331666666667;-83.0475;Detroit;default;city
186;Q64;52.516666666667;13.383333333333;Berlin;default;city
187;Q1693;56;3;North Sea;default;sea
188;Q776965;55.7125;21.135;Klaipėda;default;city
189;Q393426;50.327264913574;13.545859487384;Žatec;default;city
190;Q505288;49.516666666667;10.466666666667;Ipsheim;default;village
191;Q22756;49.191666666667;6.9683333333333;Spicheren;default;village
192;Q491239;40.8;-81.375;Canton;default;city
193;Q6986;50.948888888889;10.718333333333;Gotha;default;city
194;Q152854;36;-5.35;Pillars of Hercules;default;pillars (also mythological)
195;Q130135;31.0619444444444;-7.91611111111111;Atlas Mountains;mountain;
196;Q155721;51.800555555556;10.617222222222;Brocken;mountain;
197;Q34589;31.0043;47.442;Euphrates;river;
198;Q12724;46.316666666667;8.8166666666667;Ticino;default;region
199;Q261399;50.636666666667;2.2588888888889;Thérouanne;default;village
200;Q727;52.3727777777778;4.89361111111111;Amsterdam;default;city
201;Q201385;40.735277777778;14.275277777778;Gulf of Naples;default;bay
202;Q1055;53.55;10;Hamburg;default;city
203;Q491788;48.983611111111;12.058888888889;Pentling;default;village
204;Q991372;33.240277777778;35.653055555556;Dan;default;kibbutz
205;Q25286;59.849760548324;17.638946597524;Uppsala;default;city
206;Q131716;56.928333333333;11.428055555556;Kattegat;default;sea area
207;Q406;41.01;28.960277777778;Istanbul;default;city
208;Q552;53.6017;14.5897;Oder;river;
209;Q1711;52.4;13.066666666667;Potsdam;default;city
210;Q13696;45.1596;12.3311;Adige;river;
211;Q1017;50.776207;6.083788;Aachen;default;city
212;Q2044;43.771388888889;11.254166666667;Florence;default;city
213;Q45;38.7;-9.18333333333333;Portugal;country;
214;Q12444;50.683333333333;7.1833333333333;Königswinter;default;city
215;Q1726;48.1375;11.575;Munich;default;city
216;Q84;51.507222222222;-0.1275;London;default;city
217;Q1851740;34.996388888889;-85.350833333333;Lookout Mountain;default;city
218;Q12792;44;5.1666666666667;Vaucluse;default;region
219;Q1120038;54.638055555556;-8.6813888888889;Slieve League;mountain;
220;Q5451;29;84;Himalayas;mountain;
221;Q22890;53.351;-7.921;Ireland;default;island
222;Q23148;50.3;-4.9;Cornwall;default;historic region
223;Q40430;-12.52;-41.69;Bahia;default;region
224;Q493261;37.9063131;-122.064963;Walnut Creek;default;city
225;Q476913;41.94;-123.48;Siskiyou Mountains;mountain;
226;Q188155;36.8466666666667;54.43;Gorgan;default;city
227;Q668;22.8;83;India;country;
228;Q3392;31.4653;30.3667;Nile;river;
229;Q11767;33.7;43.5;Mesopotamia;default;historic region
230;Q2868;-12.06;-77.0375;Lima;default;city
231;Q192896;54.8947222222222;-2.93638888888889;Carlisle;default;city
232;Q209176;52.398055555556;0.26222222222222;Ely;default;city
233;Q2041191;52.15;0.0533;Haslingfield;default;village
234;Q739037;40.429;29.7195;Nicaea;default;ancient city
235;Q1471;49.434722222222;0.1175;Seine;default;river
236;Q163108;48.647222222222;-2.0088888888889;Saint-Malo;default;city
237;Q46;48.690959;9.14062;Europe;continent;
238;Q189;65;-19;Iceland;country;
239;Q434165;53.3851;-6.0591;Howth;default;city part
240;Q4856854;52.3582;-9.8368;Banna Strand;default;beach
241;Q6869752;45.7746;-64.3615;Minudie;default;village
242;Q5684;32.5425;44.4211111111111;Babylon;default;ancient city
243;Q1509;36;-86;Tennessee;default;region
244;Q207639;50.8365;-0.7792;Chichester;default;city
245;Q229;35;33;Cyprus;country;
246;Q31945;23;46;Arabian Peninsula;default;land
247;Q170263;53.2;-2.8833333333333;Chester;default;city
248;Q953957;51.589;-1.427;Wantage;default;city
249;Q1308;45.81025;9.0861388888889;Como;default;city
250;Q490;45.466944444444;9.19;Milan;default;city
251;Q23220;51.42;-1;Berkshire;default;region
252;Q2405266;51.677;-1.667;Buscot;default;village
253;Q29520;35;105;China;default;country
254;Q794;32;53;Iran;country;
255;Q936301;52.242138888889;-6.9688611111111;Barrow;river;
256;Q45797;51.037777777778;2.3763888888889;Dunkirk;default;city
257;Q1020354;54.7136111111111;-5.8075;Carrickfergus;default;city
258;Q192820;52.6767;-8.7545;River Shannon;river;
259;Q1520625;52.43;-7.563;Slievenamon;mountain;
260;Q1016302;51.85;-9.2333333333333;Ballingeary;default;village
261;Q550995;53.5425;0.0925;Humber;river;
262;Q535233;50.804;-1.978;Wimborne Minster;default;city
263;Q216185;51.5073;-0.12755;Charing Cross;default;city part
264;Q41843;31.258888888889;34.797777777778;Beersheba;default;city
265;Q1761;53.3497222222222;-6.26027777777778;Dublin;default;city
266;Q735865;50.9133;2.9181;Langemark-Poelkapelle;default;region
267;Q1860807;50.697980555556;-1.1123694444444;St Helens;default;village
268;Q854791;24.25256;97.23357;Bhamo;default;city
269;Q217142;53.068863888889;-4.0755888888889;Snowdon;mountain;
270;Q170497;51.864444444444;-2.2444444444444;Gloucester;default;city
271;Q7356450;51.739;-2.228;Rodborough;default;city
272;Q2255910;53.3269;-0.6748;Stow;default;village
273;Q2620177;42.239167;-71.808333;College of the Holy Cross;default;college
274;Q824;43.9358333333333;-120.575;Oregon;default;region
275;Q724;45.5;-69;Maine;default;region
276;Q1715;52.374444444444;9.7386111111111;Hanover;default;city
277;Q168225;31.535;35.098611111111;Hebron;default;city
278;Q7348;31.2421;81.7684;Indus River;river;
279;Q1433715;54.916111111111;-1.3577777777778;River Wear;river;
280;Q200942;51.558333333333;-1.7811111111111;Swindon;default;city
281;Q16;56;-109;Canada;country;
282;Q298;-33;-71;Chile;country;
283;Q81178;69;-72;Baffin Island;default;island
284;Q82601;-54;-70;Tierra del Fuego;default;land
285;Q99;37;-120;California;default;region
286;Q96;23;-102;Mexico;country;
287;Q1034291;46.15;-60.1667;Cape Breton;default;region
288;Q13712;41.740555555556;12.233333333333;Tiber;river;
289;Q1952;45;-63;Nova Scotia;default;region
290;Q1383;44.592584;-82.756293;Lake Huron;default;lake
291;Q59457;48.864722222222;5.7436111111111;Xivray-et-Marvoisin;default;village
292;Q1089844;49.663333333333;2.4922222222222;Cantigny;default;village
293;Q167152;49.381111111111;3.3225;Soissons;default;village
294;Q1011096;51.2226;1.4006;Deal;default;city
295;Q212150;38.155;23.963611111111;Marathon;default;city
296;Q7140795;53.194;0.109657;Partney;default;village
297;Q9427;16.773333055556;-2.9994438888889;Timbuktu;default;city
298;Q25610;51.5541;-0.1744;Hampstead;default;city part
299;Q40747;44.3683611111111;-100.351138888889;Pierre;default;city
300;Q195413;54.75;-3.6666666666667;Solway Firth;default;bay
301;Q746518;50.815;-2.2766666666667;Milton Abbas;default;village
302;Q1003997;32.5;34.9;Judaea;default;ancient region
303;Q686818;49.3066666666667;6.82305555555556;Schwalbach;default;city
304;Q285879;49.966944444444;7.895;Bingen am Rhein;default;city
305;Q3476563;37.255;-122.38138888889;Pescadero;default;region
306;Q16990;37.7508345148182;14.9932202888121;Mount Etna;default;volcano
307;Q535902;54.0084;-1.467;Knaresborough;default;city
308;Q959127;42.375;-70.749444444444;Massachusetts Bay;default;bay
309;Q662059;36.494166666667;-6.2169444444444;Bay of Cádiz;default;bay
310;Q216868;37.2480611111111;-76.1194388888889;Chesapeake Bay;default;bay
311;Q43196;39.1;-84.5125;Cincinnati;default;city
312;Q2028;45.4386111111111;10.9927777777778;Verona;default;city
313;Q2634;40.833333333333;14.25;Naples;default;city
314;Q3071035;51.953;-1.123;Fringford;default;village
315;Q5753;39.6547222222222;66.9758333333333;Samarkand;default;city
316;Q865849;53.0914;-7.9133;Birr;default;city
317;Q83407;50.4549568;3.951958;Mons;default;city
318;Q3138;49.75565;6.63935;Trier;default;city
319;Q37995;16.795;96.16;Yangon;default;city
320;Q185518;21.9830555555556;96.0844444444444;Mandalay;default;city
321;Q456624;30.378611111111;76.7725;Ambala;default;city
322;Q213026;28.364;79.415;Bareilly;default;city
323;Q39121;53.7975;-1.54361111111111;Leeds;default;city
324;Q1006232;51.4916666666667;0.0666666666666667;Woolwich;default;city part
325;Q1195983;33.586944444444;71.441388888889;Kohat;default;city
326;Q83786;31.103333333333;77.172222222222;Shimla;default;city
327;Q1113311;34.0144444444444;71.5675;Peshawar;default;city
328;Q289273;24.648265;71.267767;Luni River;river;
329;Q380307;54;-62;Labrador;default;region
330;Q3846;52.2883333333333;8.91666666666667;Minden;default;city
331;Q121104;36.7;67.116666666667;Balkh;default;region
332;Q139706;29.3875;76.97;Panipat;default;city
333;Q123741;51.5158;-0.0318;Limehouse;default;city part
334;Q173148;37.393333333333;25.271111111111;Delos;default;island
335;Q191333;34.11;71.111666666667;Khyber Pass;default;mountain pass
336;Q733093;51.851;-8.2967;Cobh;default;city
337;Q1117354;50.055555555556;3.1241666666667;Gouzeaucourt;default;village
338;Q896037;53.722083333333;-6.2435277777778;River Boyne;river;
339;Q80338;23.9888;88.7311;Bengal;default;land
340;Q132724;55.9;94.9;Borodino;default;village
341;Q132564;37.730833333333;22.756111111111;Mycenae;default;ancient city
342;Q68815586;56.59544261;-3.003357172;Glamis;default;village
343;Q100;42.3602777777778;-71.0577777777778;Boston;default;city
344;Q2918297;-33.8855555555556;151.2413889;Woollahra;default;city part
345;Q43;39;36;Turkey;country;
346;Q176;52;-72;Quebec;default;region
347;Q385060;51.4736;-0.0912;Camberwell;default;city part
348;Q1346856;33.249;35.652;Dan;default;ancient city
349;Q2302305;41.343055555556;-70.745277777778;Chilmark;default;city
350;Q36647;51.9;-8.4730555555556;Cork;default;city
351;Q1973;54.5;-124.5;British Columbia;default;region
352;Q62;37.7775;-122.416388888889;San Francisco;default;city
353;Q40191;-42.883333333333;147.31666666667;Hobart;default;city
354;Q1285;43.281667;12.581944;Apennine Mountains;mountain;
355;Q1930746;51.5486;-9.2636;Skibbereen;default;city
356;Q1439;31;-100;Texas;default;region
357;Q33959;43.701944444444;7.2683333333333;Nice;default;city
358;Q82070;33.266666666667;35.2;Tyre;default;city
359;Q1297;41.85003;-87.65005;Chicago;default;city
360;Q771;42.3;-71.8;Massachusetts;default;region
361;Q5330799;43.0167;-85.9564;Eastmanville;default;village
362;Q19709;51.9964;-2.1636;River Avon;river;
363;Q180294;32.052222222222;34.753055555556;Jaffa;default;city part
364;Q182343;42.8842;-78.9142;Niagara River;river;
365;Q40435;42.8863888888889;-78.8780555555556;Buffalo;default;city
366;Q487564;43.41;-74.96;Herkimer County;default;region
367;Q1360927;57.75;-3.5;Moray Firth;default;bay
368;Q12431;42.666666666667;1;Pyrenees;mountain;
369;Q203950;36.183333333333;-6.0333333333333;Cape Trafalgar;default;land
370;Q986634;46.496944444444;-84.345555555556;Sault Ste. Marie;default;city
371;Q745295;36.559;22.4303;Mani Peninsula;default;land
372;Q5303081;50.3618;-4.3701;Downderry;default;village
373;Q1024896;50.3535;-4.454;Looe;default;city
374;Q7289328;50.3246;-4.2133;Rame;default;village
375;Q23154;51.4536111111111;-2.5975;Bristol;default;city
376;Q6454;50.9475;1.8555555555556;Calais;default;city
377;Q318306;-17.876388888889;36.887222222222;Quelimane;default;city
378;Q135744;29.3013889;-94.7977778;Galveston;default;city
379;Q42462;53.95;-1.0833333333333;York;default;city
380;Q917319;39.083333333333;-9.2666666666667;Torres Vedras;default;city
381;Q1757559;51.27;-2.12;Bratton;default;village
382;Q23156;50.7;-3.8;Devon;default;region
383;Q7687213;40.2701388888889;140.446861111111;Tashiro;default;region
384;Q812895;50.7375;0.2475;Beachy Head;default;cape
385;Q991055;51.714180555556;-5.0427388888889;Milford Haven;default;city
386;Q23298;51.19;0.73;Kent;default;region
387;Q7114777;50.95;-1.54;Ower;default;village
388;Q2292191;54.651388888889;-3.1477777777778;Skiddaw;mountain;
389;Q7355468;52.585138888889;1.4117694444444;Rockland St Mary;default;village
390;Q2568918;52.5791;0.98283888888889;Hingham;default;city
391;Q130191;52.6286111111111;1.29277777777778;Norwich;default;city
392;Q1134899;-25.983333333333;32.7;Maputo Bay;default;bay
393;Q14294;38.8525;-9.0137;Tagus River;river;
394;Q14299;41.14;-8.66;Douro;river;
395;Q23792;31.625321;35.145264;Palestine;default;region
396;Q2471;15.35;44.2;Sanaa;default;city
397;Q102728;50.8508333333333;2.885;Ypres;default;city
398;Q163584;54.991666666667;-7.3416666666667;Derry;default;city
399;Q1413986;52.48294;-9.68903;River Feale;river;
400;Q503262;55.764164;-1.986574;River Tweed;river;
401;Q241021;48.816388888889;2.3211111111111;Montrouge;default;city
402;Q130978;19.5511111111111;-89.2963888888889;Yucatan Peninsula;default;land
403;Q45240;43.738942;7.425237;Monte Carlo;default;city
404;Q372324;64.066666666667;-139.42916666667;Dawson City;default;city
405;Q179224;51.1275;1.3122222222222;Dover;default;city
406;Q1546553;64.9233;-157.5539;Koyukuk River;river;
407;Q2497835;50.908480555556;-0.53403888888889;Amberley;default;village
408;Q7620330;50.9178;-0.45459;Storrington;default;village
409;Q5456;-32.65333333;-70.01166667;Andes;mountain;
410;Q189387;40.7311111111111;13.8955555555556;Ischia;default;volcano
411;Q2065416;51.5262;-0.1178;St Pancras;default;city part
412;Q149836;51.541;-0.1433;Camden Town;default;city part
413;Q2702410;46.65873056;-53.07285278;Cape Race;default;cape
414;Q1490;35.6894444444444;139.691666666667;Tokyo;default;city
415;Q12898802;37.6;22.2;Arcadia;default;historic region
416;Q690347;36.125833333333;-5.3430555555556;Rock of Gibraltar;default;rock
417;Q648;50.631944444444;3.0575;Lille;default;city
418;Q79848;50.9066666666667;-1.40444444444444;Southampton;default;city
419;Q134672;50.7255555555556;-3.52694444444444;Exeter;default;city
420;Q134514;29.966666666667;32.533333333333;Suez;default;city
421;Q4558;46.8505;-121.76;Cascade Range;mountain;
422;Q604141;47.8331;-122.435;Puget Sound;default;bay
423;Q230;42;44;Georgia;country;
424;Q1393;39;-75.5;Delaware;default;region
425;Q179444;38;-76.335;Potomac River;river;
426;Q3140;40.6001;-74.042;Hudson River;river;
427;Q326295;41.9586111111111;-70.6677777777778;Plymouth;default;city
428;Q129705;40.390836111111;-111.64594444444;Mount Timpanogos;mountain;
429;Q15282;25.566666666667;-99.970555555556;Nuevo León;default;region
430;Q4736866;43.47;-71.234166666667;Alton Bay;default;city
431;Q34903434;43.90063;-71.49813;Sandwich Dome;mountain;
432;Q6726033;43.3873;-71.0673;Mad River;river;
433;Q894570;42.34394444;-71.06597222;Boston Neck;default;land
434;Q233;35.8833333333333;14.5;Malta;country;
435;Q23666;53.833333333333;-2.4166666666667;Great Britain;default;country
436;Q185318;32.72062;35.03145;Mount Carmel;mountain;
437;Q134287;36.916666666667;34.9;Tarsus;default;city
438;Q2817296;37.7306;-99.9347;Fort Dodge;default;fort
439;Q13498;40.4711111111111;17.2430555555556;Taranto;default;city
440;Q159987;50.5;2.5;Artois;default;region
441;Q27;53;-8;Republic of Ireland;country;
442;Q233733;46.255833333333;6.1080555555556;Ferney-Voltaire;default;city
443;Q56761602;38.2567;23.1717;Leuctra;default;village
444;Q235297;48.785;-3.2325;Tréguier;default;village
445;Q41183;36.2;37.16;Aleppo;default;city
446;Q1367759;32.6577;51.6692;Isfahan Province;default;region
447;Q845909;44.94278;34.12056;Scythia;default;historic region
448;Q186115;48.886944444444;2.3411111111111;Montmartre;default;city part
449;Q17;35;136;Japan;country;
450;Q10965;40.728527124206;0.86929321289062;Ebro;river;
451;Q208267;50.4619;4.8708;Sambre;river;
452;Q171009;45.543888888889;18.926666666667;Drava;river;
453;Q1548355;41.896667;12.496667;Suburra;default;city part
454;Q202368;48.5775;-3.8277777777778;Morlaix;default;city
455;Q71661;47.843611111111;-3.2669444444444;Inzinzac-Lochrist;default;village
456;Q913286;43.790094;11.196478;Mugnone;river;
457;Q82670;43.8;11.3;Fiesole;default;city
458;Q6602;48.573333333333;7.7522222222222;Strasbourg;default;city
459;Q151330;52.403257;13.038626;Sanssouci;default;palace
460;Q1469;47.27;-2.1844444444444;Loire;default;river
461;Q822;33.833333;35.766667;Lebanon;country;
462;Q14309;36.7913;-6.3567;Guadalquivir;river;
463;Q195958;43.755833333333;-0.68611111111111;Toulouzette;default;village
464;Q6582;43.215833333333;2.3513888888889;Carcassonne;default;castle
465;Q1479;44.837777777778;-0.57944444444444;Bordeaux;default;city
466;Q10305;41.65;-0.88333333333333;Zaragoza;default;region
467;Q1851236;48.863288888889;2.3665083333333;Boulevard du Temple;default;city part
468;Q184371;49.701944444444;4.9402777777778;Sedan;default;city
469;Q519640;51.283333333333;11.9;Braunsbedra;default;city
470;Q1060595;49.084444444444;4.7736111111111;Valmy;default;village
471;Q552165;51.099444444444;11.5875;Auerstedt;default;village
472;Q173695;48.173611111111;6.4516666666667;Épinal;default;city
473;Q85;30.0444444444444;31.2358333333333;Cairo;default;city
474;Q20;65;11;Norway;country;
475;Q525811;37.176944444444;-3.5852777777778;Generalife;default;palace
476;Q1075988;48.861028;2.335886;Louvre Palace;default;palace
477;Q208081;42.6309916666667;0.656686111111111;Aneto;mountain;
478;Q199910;10.1833333333333;-74.2333333333333;Magdalena Department;default;region
479;Q1500472;48.040277777778;-4.7411111111111;Pointe du Raz;default;cape
480;Q5687;31.856111111111;35.463055555556;Jericho;default;city
481;Q192483;39.916666666667;25.25;Lemnos;default;island
482;Q2887644;42.883333333333;-0.016666666666667;Bastan;river;
483;Q791134;39.05;-7.8833333333333;Avis;default;city
